nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
Koszty działalności operacyjnej (I+II+III+IV+V+VI+VII+VIII),Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty działalności operacyjnej w tym:,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty działalności operacyjnej, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty działalności podstawowej,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty działalności podstawowej, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty ogółem,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,nazwa generyczna - moze pasowac do wielu pozycji,,
Koszty operacyjne ogółem,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty operacyjne razem,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty operacyjne, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty sprzedanych dóbr i usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty sprzedanych produktów i towarów,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów i towarów, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty sprzedanych produktów i usług oraz towarów i materiałów,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"KOSZTY SPRZEDANYCH PRODUKTÓW, TOWARÓW , W TYM:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, towarów i materiałów",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, towarów i materiałów, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"KOSZTY SPRZEDANYCH PRODUKTÓW, TOWARÓW I USŁUG",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, towarów, materiałów i usług",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, towarów, materiałów i usług, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, towarów, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, towarów,materiałów i usług",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedanych produktów, usług, towarów i materiałów",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty sprzedanych usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Koszty sprzedaży produktów, towarów i materiałów",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty wytworzenia sprzedanych produktów,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty wytworzenia sprzedanych produktów i usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty wytworzenia sprzedanych usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty wytworzenia usług,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty własne sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty własny sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Koszty własnych świadczonych usług obsługi nieruchomości,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
